Division,Subcategory,Service,Description,Setup / One-time (IDR),Monthly / Annual (IDR),Notes,Source
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Halaman Arahan / Profil Perusahaan,Situs web 1 halaman untuk promosi merek/jasa/bisnis lokal,Rp 350.000,Rp 150.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Situs Web Multi Halaman (Profesional),"4–6 halaman (Beranda, Tentang, Layanan, Galeri, Blog, Kontak) + dasar SEO",Rp 750.000,Rp 250.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Situs Web Toko Online (E-Commerce),"Katalog produk, sistem belanja, gateway pembayaran, laporan transaksi",Rp 1.500.000,Rp 350.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Website Custom / Sistem Web App,"Fitur sesuai kebutuhan (CRM, ERP, POS, HRIS, portal klien, pemesanan)",Mulai Rp 2.000.000,Rp 500.000–1.000.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Website Sekolah / Lembaga / Yayasan,"Profil lembaga, berita, data guru/siswa, sistem nilai & pengumuman",Rp 1.200.000,Rp 400.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Portofolio / Personal Branding Website,"Desain modern untuk influencer, desainer, fotografer, konsultan, dll",Rp 700.000,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Website AI & Otomasi Bisnis,"Website cerdas dengan chatbot AI, CRM, & analitik dasbor",Rp 2.500.000,Rp 450.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Fitur Standar,Paket fitur standar,"Responsive, SEO dasar, SSL & keamanan, domain+hosting, Google Maps & WA, email bisnis, integrasi sosmed, maintenance & support",,,Termasuk pada semua paket website,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Add-On,Optimasi Kecepatan Website,Peningkatan kinerja (GTMetrix A+ / PageSpeed 90+),Rp 200.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Add-On,Pengaturan SSL & Keamanan,"Firewall, anti-hack, proteksi malware, backup harian",Rp 150.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
